rank,score,tier,l1,l2,l3,l4,l5,name,retailer,country,price,cur,azn,reviews,bestseller_ranks,countries,url,img,ev
144,72.2,Ranked in 2 chains,HOME TEXTILES,Floor mats & rugs,Door mats,Entrance mats,"Entrance door mat (PP pile, rubber back)","Коврик придверный, 50х76 см, в ассортименте",Fix Price,Russia,279,RUB,5.6,0,#6 Fix Price Russia (Для дома > Аксессуары для обуви (shoe care accessories)); #9 Fix Price Kazakhstan (Для дома > Аксессуары для обуви (Shoe care)),"Belarus, Kazakhstan, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5080230-kovrik-pridvernyy-50h76-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/5080230_anons_1080x1350.jpg,"Fix Price Russia: #6 in 'Для дома > Аксессуары для обуви (shoe care accessories)' (sorted by units sold); Fix Price Kazakhstan: #9 in 'Для дома > Аксессуары для обуви (Shoe care)' (popular first) | Fix Price RU 279 RUB, 100% PP pile / TPE base 50x76 cm; 5 door-mat SKUs on Fix Price 'Текстиль' pages; same SKU listed by Fix Price KZ and BY; n11: 'Kapı Önü Paspası Kaymaz ... 45x70' 219 TL; 'Pvc Tabanlı Koko Kıl Kapı Önü Paspası 40x60' 349 TL"
145,71.9,Ranked in 2 chains,KITCHEN TOOLS,Measuring tools,Kitchen scales,Digital,Digital kitchen scale,"Весы электронные кухонные с мерным стаканом, O'Kitchen, 1,2 л, в ассортименте",Fix Price,Russia,399,RUB,8.01,1589,"#64 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #82 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen))","Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5092663-vesy-elektronnye-kuhonnye-s-mernym-stakanom-itchen-12-l-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/5b/5bea96a951b0e55b27704e019b0555ea.jpg,"Fix Price Russia: #64 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); Fix Price Kazakhstan: #82 in 'Для дома > Для кухни (Kitchen)' (popular first) | Fix Price 399 RUB; Fix Price kitchen category sorted 'popular first' (dlya-kukhni?sort=sold, 78 pages x 24): this SKU on page 5 (top ~120); n11: SF-400 digital kitchen scale 1,589 reviews (219 TL), Techmaster LCD scale 1,521 reviews (225 TL), Voit SC20 194, Mastek 173; Action PL: 'Waga o wysokiej precyzji' 13.95 zl and Tefal Essential scale 44.95 zl | n11 275 TL, 1,589 ratings / 855 reviews; Techmaster 10 kg 1,521 reviews, Mastek 173 reviews; Fix Price O'Kitchen electronic scales listed"
146,71.8,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Batteries,Button cells,Button cell batteries (LR44 / watch SR626),"Duracell LR44 1,5 V/B Baterie alkaliczne 2 sztuki",Carrefour,Poland,9.19,PLN,4.06,50,#16 n11 Turkey (n11 search: pil); #17 Carrefour Poland (Elektronika > Telewizory i RTV > Akcesoria > Baterie),"Poland, Turkey",https://www.carrefour.pl/zakupy-niecodzienne/elektronika/telewizory-i-rtv-59/akcesoria-pi/baterie-lm/duracell-lr44-15-v-b-baterie-alkaliczne-2-sztuki,https://www.carrefour.pl/images/product/org/duracell-lr44-15-v-b-baterie-alkaliczne-2-sztuki-ahx2N2.jpg,n11 Turkey: #16 in 'n11 search: pil' (best-selling); Carrefour Poland: #17 in 'Elektronika > Telewizory i RTV > Akcesoria > Baterie' (most popular)
147,71.8,Ranked in 2 chains,DECOR & ORGANISATION,Storage & Organisation,Storage Boxes,Fabric Storage Boxes,Foldable fabric storage box / cube,Składany kosz do przechowywania Home Accents,Action,Poland,8.49,PLN,3.75,2,#12 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)); #35 Fix Price Russia (Для дома > Организация хранения (storage & organisation)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3005397/skladany-kosz-do-przechowywania-home-accents/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3005397_8718964317486-110_01_rwsita.webp,"Fix Price Kazakhstan: #12 in 'Для дома > Текстиль (Textiles)' (popular first); Fix Price Russia: #35 in 'Для дома > Организация хранения (storage & organisation)' (sorted by units sold) | Action PL 8.49 zl; Action also 'Składany kosz 30 x 30 cm' 12.95 zl and 38x26x25 cm 16.95 zl; n11 TR: foldable fabric boxes from Serstil and Adarya Home (Adarya 5-compartment 199.90 TL, 2 reviews)"
148,71.5,Ranked in 2 chains,HOME TEXTILES,Bedding basics,Pillow protection,Pillow protectors,Quilted zip pillow protector,"Чехол стёганый на молнии, 70x70 см",Fix Price,Russia,279,RUB,5.6,144,#6 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)); #22 Fix Price Russia (Для дома > Текстиль (Textiles)),"Kazakhstan, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5072139-chehol-stganyy-na-molnii-7070-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/8f/8fd82f17a1f9f880490a366bc53c8188.jpg,"Fix Price Kazakhstan: #6 in 'Для дома > Текстиль (Textiles)' (popular first); Fix Price Russia: #22 in 'Для дома > Текстиль (Textiles)' (sorted by units sold) | Fix Price RU 279 RUB, washable quilted 70x70 cm, in 'Текстиль'; same SKU listed by Fix Price KZ (plus 'Чехол на молнии, 50х70'); n11: 'Soley Sıvı Geçirmez Pamuklu Alez Yastık Koruyucu 2 Adet' 144 reviews"
149,71.5,Ranked in 2 chains,HOME TEXTILES,Window textiles,Blinds,Roller blinds,"Day-night (zebra) roller blind, small","Штора рулонная ""День-Ночь"", Home Time, 50х150 см, в ассортименте",Fix Price,Russia,449,RUB,9.01,29,#5 Fix Price Russia (Для дома > Текстиль (Textiles)); #7 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)),"Belarus, Kazakhstan, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5073092-shtora-rulonnaya-den-noch-ome-ime-50h150-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/48/48d879d9b959622965ee4ccf7e1f52c4.jpg,"Fix Price Russia: #5 in 'Для дома > Текстиль (Textiles)' (sorted by units sold); Fix Price Kazakhstan: #7 in 'Для дома > Текстиль (Textiles)' (popular first) | Fix Price RU 449 RUB, 50x150 cm, listed on page 1 of 'Текстиль'; same SKU listed by Fix Price KZ and BY; n11: 'Pliseli Beyaz Stor Zebra Perde' 29 reviews, 36.30 TL"
150,71.5,Ranked in 2 chains,DECOR & ORGANISATION,Home Fragrance & Candles,Candles,Pillar Candles,"Pillar candle, unscented / lightly scented","Świeca pieńkowa 7 x 9,5 cm",Action,Poland,5.95,PLN,2.63,0,"#6 Fix Price Russia (Сувениры и подарки > Свечи, диффузоры, подсвечники (candles, diffusers, holders)); #63 Carrefour Poland (Wyposażenie domu > Przyjęcia i świece > Świece i zapachy)","Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3205094/swieca-pienkowa/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3205094_8718964280476-110_01_njmqnh.webp,"Fix Price Russia: #6 in 'Сувениры и подарки > Свечи, диффузоры, подсвечники (candles, diffusers, holders)' (sorted by units sold); Carrefour Poland: #63 in 'Wyposażenie domu > Przyjęcia i świece > Świece i zapachy' (most popular) | Action PL 5.95 zl; Action 'Świece' also lists 'Świece pieńkowe' 4-pack (3.99 zl/pc); n11 TR 'Silindir Kütük Mum Beyaz' 189 TL; Fix Price KZ 'Свеча ароматическая, Аромат огня, 60х80 мм'"
151,71.4,Ranked in 2 chains,DECOR & ORGANISATION,Home Fragrance & Candles,Candles,Dinner Candles,"Dinner / taper candles, multipack",Świece stołowe Candra,Action,Poland,13.95,PLN,6.17,0,"#3 Fix Price Russia (Сувениры и подарки > Свечи, диффузоры, подсвечники (candles, diffusers, holders)); #12 Carrefour Poland (Wyposażenie domu > Przyjęcia i świece > Świece i zapachy)","Kazakhstan, Poland, Russia",https://www.action.com/pl-pl/p/3207521/swiece-stolowe-candra/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/28175836.webp,"Fix Price Russia: #3 in 'Сувениры и подарки > Свечи, диффузоры, подсвечники (candles, diffusers, holders)' (sorted by units sold); Carrefour Poland: #12 in 'Wyposażenie domu > Przyjęcia i świece > Świece i zapachy' (most popular) | Action PL 13.95 zl for 10 (1.40 zl/pc as shown in 'Świece'), plus 'Długie świece' 6-pack and metallic 22 cm 4-pack; Fix Price RU and KZ both list 'Набор свечей, 19,5 см, 4 шт.'"
152,71.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Household Consumables & Fire,Fire & Candles,Lighters,Disposable pocket gas lighter,Zapalniczka gazowa Flame Classics,Action,Poland,3.99,PLN,1.76,0,#10 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #12 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Poland, Russia",https://www.action.com/pl-pl/p/2527288/zapalniczka-gazowa-flame-classics/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/2527288_8711292206637-110_01_dswnmo.webp,"Fix Price Russia: #10 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #12 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first) | Action PL 3.99 zl; Action range also BIC 2-pack 7.49 zl, electronic lighters 5 pcs 4.49 zl, 3-pack 4.98 zl, refillable lighter 7.79 zl; Fix Price Luxlite lighter and Luxlite mechanical lighter listed in 'Хозяйственные мелочи'"
153,71.1,Ranked in 2 chains,HOUSEHOLD CLEANING,Brooms & Dustpans,Dustpan sets,Hand sets,Hand brush and dustpan set,"Комплект щётка-смётка с совком, в ассортименте",Fix Price,Kazakhstan,999,KZT,3.81,0,#20 Carrefour Poland (Wyposażenie domu > Domowe porządki (all)); #86 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.kz/ru/catalog/dlya-doma/p-5041118-komplekt-schtka-smtka-s-sovkom-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/a8022f031eefb6d7b4445898557fd7ab_17.jpg,"Carrefour Poland: #20 in 'Wyposażenie domu > Domowe porządki (all)' (most popular); Fix Price Kazakhstan: #86 in 'Для дома > Для уборки (Cleaning)' (popular first) | Fix Price KZ 999 KZT (also listed on Fix Price RU, currently out of stock); Action PL: Szczotka i szufelka; Action PL: Zmiotka i szufelka Vileda; n11 TR: Büyük Fırçalı Faraş Takım (hand set) listed"
154,70.9,Ranked in 3+ chains,DECOR & ORGANISATION,Decorative Accessories,Trays & Bowls,Decorative Trays,Decorative tray (marble-look / wood),Taca marmuropodobna,Action,Poland,29.95,PLN,13.24,1,"#4 Fix Price Russia (Сувениры и подарки > Подставки, шкатулки, светильники (trays, boxes, decorative lights)); #20 n11 Turkey (n11 search: tepsi); #78 Fix Price Kazakhstan (Декор для дома > Товары для декора (Decor))","Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3216037/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3216037_8718964240159-110_01_ljphzv.webp,"Fix Price Russia: #4 in 'Сувениры и подарки > Подставки, шкатулки, светильники (trays, boxes, decorative lights)' (sorted by units sold); n11 Turkey: #20 in 'n11 search: tepsi' (best-selling); Fix Price Kazakhstan: #78 in 'Декор для дома > Товары для декора (Decor)' (popular first) | Action PL 29.95 zl (also rubberwood tray 9.95 zl on 'Wyposażenie domu'); Fix Price RU & KZ list 'Декоративный поднос ""ГолденБлэк""'; Fix Price KZ also 'Поднос декоративный, PREZENT, 240х195х45 мм'"
155,70.9,Ranked in 2 chains,HOME TEXTILES,Kitchen textiles,Sink & drying,Dish drying mats,Dish drying mat (absorbent),"Коврик под посуду, 38х50 см, в ассортименте",Fix Price,Russia,199,RUB,3.99,8,#21 Fix Price Russia (Для дома > Для кухни (Kitchen)); #43 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)),"Kazakhstan, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5071094-kovrik-pod-posudu-38h50-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/23/234035fe32585c12a8b4f92c04af77f4.jpg,"Fix Price Russia: #21 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Fix Price Kazakhstan: #43 in 'Для дома > Для кухни (Kitchen)' (popular first) | Fix Price RU 199 RUB, polyester/foam 38x50 cm; Fix Price RU lists 6+ dish-mat SKUs (30x40, 25x40, 60x45, 'Коврик для сушки посуды, BonHome'); n11: 'Rotanev ... Silikon Bulaşık Kurutma Matı' 8 reviews; 'Mudo Home Bulaşık Kurutma Matı' 4 reviews"
156,70.5,Ranked in 2 chains,"TEA, COFFEE & TABLE",Tea & Coffee Serving,Tea Glassware,Tea Glasses with Handle,"Glass tea cup with handle, single",Szklanka do herbaty,Action,Poland,4.49,PLN,1.98,101,#4 n11 Turkey (n11 search: çay bardağı); #115 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3217091/szklanka-do-herbaty/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3217091_883314051841-111_01_qfhnrs.webp,"n11 Turkey: #4 in 'n11 search: çay bardağı' (best-selling); Fix Price Russia: #115 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Action PL 4.49 zl (280 ml, glass with handle); Action also lists 'Szklanka na herbate z kolorowym uchem' and 'Szklanka z uchem'; n11 TR: Reoona 6-pack handled glass cups 101 reviews, Lav Hestia 15 reviews, Pasabahce 55411 Keyif 12-pack 8 reviews"
157,69.8,Ranked in 2 chains,HOME ESSENTIALS & DIY,Home Devices,Clocks & Measuring,Clocks,Alarm clock (digital / analogue),Budzik cyfrowy,Action,Poland,16.9,PLN,7.47,127,"#57 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #66 Fix Price Kazakhstan (Для дома > Электротовары (Electrical))","Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/2579600/budzik-cyfrowy/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/2579600_5714988113885-110_02_nomznq.webp,"Fix Price Russia: #57 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); Fix Price Kazakhstan: #66 in 'Для дома > Электротовары (Electrical)' (popular first) | Action PL 16.90 zl, plus square alarm clock 16.95 zl and Re-load wireless-charging alarm clock 34.98 zl; n11: Oddity 7-colour cube alarm clock 127 reviews, Valkyrie table alarm clock 24 reviews; Fix Price FLARX weather-station clock"
158,69.6,Ranked in 2 chains,KITCHEN TOOLS,Cutting & slicing tools,Kitchen knives,Paring / vegetable knives,"Serrated paring knives, multipack",Nożyki kuchenne Löwenthal,Action,Poland,3.99,PLN,1.76,1276,#1 n11 Turkey (n11 search: bıçak seti); #128 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3208720/nozyki-kuchenne-lowenthal/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3208720_8715986200840-110_01_tjjy04.webp,"n11 Turkey: #1 in 'n11 search: bıçak seti' (best-selling); Fix Price Russia: #128 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Action PL 3.99 zl for 5 knives; second Action SKU 'Noże kuchenne Cuisine Elegance' 4 pcs 3.72 zl; Fix Price kitchen category sorted 'popular first' (fix-price.com/catalog/dlya-doma/dlya-kukhni?sort=sold): 'Нож овощной, O'Kitchen, 23 см' on page 6 of 78 (top ~150 of ~1,870 kitchen SKUs); n11: Solingen 6-pc serrated fruit/veg knife set 1,276 reviews (149.90 TL), Solingen 6-pc serrated knives 758 reviews"
159,69.6,Ranked in 2 chains,HOME ESSENTIALS & DIY,Home Devices,Clocks & Measuring,Optics,Handheld magnifying glass,MAS BÜYÜTEÇ 90 MM 1108,n11,Turkey,254.8,TRY,8.87,136,"#34 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #36 Fix Price Kazakhstan (Для дома > Электротовары (Electrical))","Kazakhstan, Russia, Turkey",https://www.n11.com/urun/mas-buyutec-90-mm-1108-33216925,https://n11scdn.akamaized.net/a1/400_570/04/05/51/37/IMG-5198755138858762020.jpg,"Fix Price Russia: #34 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); Fix Price Kazakhstan: #36 in 'Для дома > Электротовары (Electrical)' (popular first) | n11 254.80 TL (search listing), 7 ratings 5.0; n11 LED desk magnifiers 104-136 reviews; Fix Price FLARX illuminated magnifier in 'Электротовары'"
160,69.6,Ranked in 2 chains,KITCHEN TOOLS,Cooking utensils,Spoons & ladles,Solid spoons,Solid cooking / serving spoon,"Ложка кухонная, O'Kitchen, 35 см, в ассортименте",Fix Price,Russia,79,RUB,1.59,10,#54 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne); #151 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5092465-lojka-kuhonnaya-itchen35-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/5b/5b17349c3c608c63227add7297dca497.jpg,"Carrefour Poland: #54 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular); Fix Price Russia: #151 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Fix Price 79 RUB; Fix Price kitchen category sorted 'popular first' (dlya-kukhni?sort=sold, 78 pages x 24): this SKU on page 17; n11: 4-pc steel set (ladle/skimmer/spatula/spoon) 10 reviews; Kaspi: Tupperware 'Ложка поварская' listing"
